    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(60,6): error C2182: "CircleQueue": недопустимое использование "void" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(60,49): error C2334: непредвиденные лексемы перед "{"; пропуск вероятного тела функции [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(76,17): error C2143: синтаксическая ошибка: отсутствие ";" перед "<" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(76,6): error C7539: "CircleQueue": класс с конструкторами, объявленными пользователями, не может иметь член с тем же именем, что и класс [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(76,6): error C2182: "CircleQueue": недопустимое использование "void" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(76,6): error C2086: int CircleQueue::CircleQueue: переопределение [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(76,60): error C2334: непредвиденные лексемы перед "{"; пропуск вероятного тела функции [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(92,17): error C2143: синтаксическая ошибка: отсутствие ";" перед "<" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(92,6): error C7539: "CircleQueue": класс с конструкторами, объявленными пользователями, не может иметь член с тем же именем, что и класс [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(92,6): error C2371: CircleQueue::CircleQueue: переопределение; различные базовые типы [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(92,50): error C2334: непредвиденные лексемы перед "{"; пропуск вероятного тела функции [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(96,17): error C2143: синтаксическая ошибка: отсутствие ";" перед "<" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(96,6): error C7539: "CircleQueue": класс с конструкторами, объявленными пользователями, не может иметь член с тем же именем, что и класс [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(96,6): error C2182: "CircleQueue": недопустимое использование "void" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(96,6): error C2086: int CircleQueue::CircleQueue: переопределение [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(96,50): error C2334: непредвиденные лексемы перед "{"; пропуск вероятного тела функции [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(100,17): error C2143: синтаксическая ошибка: отсутствие ";" перед "<" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(100,6): error C7539: "CircleQueue": класс с конструкторами, объявленными пользователями, не может иметь член с тем же именем, что и класс [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(100,6): error C2182: "CircleQueue": недопустимое использование "void" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(100,6): error C2086: int CircleQueue::CircleQueue: переопределение [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(100,54): error C2334: непредвиденные лексемы перед "{"; пропуск вероятного тела функции [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(103,17): error C2143: синтаксическая ошибка: отсутствие ";" перед "<" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(103,6): error C7539: "CircleQueue": класс с конструкторами, объявленными пользователями, не может иметь член с тем же именем, что и класс [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(103,6): error C2182: "CircleQueue": недопустимое использование "void" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(103,6): error C2086: int CircleQueue::CircleQueue: переопределение [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(103,53): error C2334: непредвиденные лексемы перед "{"; пропуск вероятного тела функции [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(107,26): error C2143: синтаксическая ошибка: отсутствие ";" перед "+=" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(107,1): error C7539: "CircleQueue": класс с конструкторами, объявленными пользователями, не может иметь член с тем же именем, что и класс [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(107,36): error C4430: отсутствует спецификатор типа - предполагается int. Примечание. C++ не поддерживает int по умолчанию [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
    30>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.lab\CircleQueue\CircleQueue.hpp(107,44): error C4430: отсутствует спецификатор типа - предполагается int. Примечание. C++ не поддерживает int по умолчанию [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.test\test_CircleQueue.vcxproj]
