    22>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr.cpp(17,3): error C2065: st: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr.vcxproj]
    22>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr.cpp(18,3): error C2065: st: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(11,3): error C2065: StackLst: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    22>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr.cpp(18,11): error C2065: Complex: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(10,1): error C3544: "Types": пакет параметров ожидает аргумент шаблона типа [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(10,1): error C3203: "tuple": неспециализированный класс шаблон нельзя использовать в качестве аргумента шаблон для параметра шаблон "Tuple", требуется действительный тип [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(10,1): error C2027: использование неопределенного типа "`anonymous-namespace'::test_movableITERATOR<int>" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(10,1): error C2672: "doctest::detail::instantiationHelper": не найдена соответствующая перегруженная функция [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(10,1): error C2660: doctest::detail::consume: функция не принимает 1 аргументов [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(12,1): error C2065: StackArr: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(12,1): error C3544: "Types": пакет параметров ожидает аргумент шаблона типа [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(12,1): error C3203: "tuple": неспециализированный класс шаблон нельзя использовать в качестве аргумента шаблон для параметра шаблон "Tuple", требуется действительный тип [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(12,1): error C2027: использование неопределенного типа "`anonymous-namespace'::test_movable_ctorITERATOR<int>" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(12,1): error C2672: "doctest::detail::instantiationHelper": не найдена соответствующая перегруженная функция [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(12,1): error C2660: doctest::detail::consume: функция не принимает 1 аргументов [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(14,1): error C2065: StackArr: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(14,1): error C3544: "Types": пакет параметров ожидает аргумент шаблона типа [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(14,1): error C3203: "tuple": неспециализированный класс шаблон нельзя использовать в качестве аргумента шаблон для параметра шаблон "Tuple", требуется действительный тип [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(14,1): error C2027: использование неопределенного типа "`anonymous-namespace'::test_movable_op_eqITERATOR<int>" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(14,1): error C2672: "doctest::detail::instantiationHelper": не найдена соответствующая перегруженная функция [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(14,1): error C2660: doctest::detail::consume: функция не принимает 1 аргументов [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(11,12): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "st" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(11,12): error C2065: st: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(15,3): error C2065: StackLst: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(15,12): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "st" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(15,12): error C2065: st: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(16,3): error C2065: st: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(17,3): error C2065: st: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(17,11): error C2065: Complex: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(18,3): error C2065: st: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(22,3): error C2065: StackLst: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(22,12): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "st_orig" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(22,12): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(23,3): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(23,16): error C2065: Complex: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(24,3): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(25,3): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(26,3): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(27,3): error C2065: StackLst: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(27,12): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "st_src" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(27,12): error C2065: st_src: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(29,5): error C2065: st_src: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(31,3): error C2065: st_src: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(32,3): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(32,13): error C2065: st_src: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(36,3): error C2065: StackLst: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(36,12): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "st_orig" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(36,12): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(37,3): error C2065: StackLst: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(37,12): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "st_empty" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(37,21): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(37,12): error C3861: st_empty: идентификатор не найден [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(38,3): error C2065: st_empty: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(41,5): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(41,18): error C2065: Complex: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(43,3): error C2065: StackLst: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(43,12): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "st_copy" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(43,20): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(43,12): error C3861: st_copy: идентификатор не найден [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(44,3): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(44,3): error C2065: st_copy: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(44,3): error C2672: "doctest::detail::ResultBuilder::binary_assert": не найдена соответствующая перегруженная функция [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(45,11): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(46,5): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(46,5): error C2065: st_copy: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(46,5): error C2672: "doctest::detail::ResultBuilder::binary_assert": не найдена соответствующая перегруженная функция [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(47,5): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(48,10): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(49,7): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(49,7): error C2065: st_copy: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(49,7): error C2672: "doctest::detail::ResultBuilder::binary_assert": не найдена соответствующая перегруженная функция [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(51,5): error C2065: st_copy: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(52,10): error C2065: st_copy: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(53,7): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(53,7): error C2065: st_copy: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(53,7): error C2672: "doctest::detail::ResultBuilder::binary_assert": не найдена соответствующая перегруженная функция [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(59,3): error C2065: StackLst: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(59,12): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "st_orig" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(59,12): error C2065: st_orig: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(60,3): error C2065: StackLst: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(60,12): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "st_empty" [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(60,12): error C2065: st_empty: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(61,3): error C2065: st_empty: необъявленный идентификатор [D:\projects\misis2023f-23-check\misis2024s-23-09-abramovade\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
